Original_Country,Country
Antigua and Barbuda,Antigua And Barbuda
Bosnia and Herzegovina,Bosnia And Herzegovina
Côte d'Ivoire,Cote D'Ivoire
Curaçao,Curacao
DR Congo,Dr Congo
Réunion,Reunion
State of Palestine,State Of Palestine
Trinidad and Tobago,Trinidad And Tobago
