Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,Population Density,GDP_per_capita_PPP,Population,Log_Population,TotalGDP,LogGDPperCapita,LogPopulation
Afghanistan,66.5,68.1,64.9,26.7,11704638,67,2144.1665,40000360.0,7.602063899960711,85767431899.93999,3.3312585064048905,7.602063899960711
Albania,80.0,81.7,78.1,70.3,1948831,101,16353.809,2849591.0,6.454782530468232,46601666942.118996,4.2136189212178214,6.454782530468232
Algeria,76.7,78.1,75.3,74.4,35291973,20,14496.865,44761051.0,7.650900275312562,648894913605.115,4.16127409462075,7.650900275312562
Angola,65.0,67.5,62.4,68.8,26847887,31,7408.1265,34532382.0,7.538226536466343,255820254202.323,3.8697083896812887,7.538226536466343
Antigua And Barbuda,77.9,80.6,74.9,28.5,26823,214,25733.295,92316.0,4.965276978485372,2375594861.22,4.41049539867433,4.965276978485372
Argentina,77.7,80.2,75.1,96.0,44010474,17,26300.273,45312226.0,7.656215397773324,1191723914037.698,4.419960256542161,7.656215397773324
Armenia,76.0,79.7,71.8,63.8,1882155,104,15921.705,2870293.0,6.457926231851837,45699958409.565,4.201989572977212,6.457926231851837
Aruba,76.6,79.1,74.0,44.7,48340,601,35696.31,107524.0,5.031505412197983,3838210036.4399996,4.552623324530551,5.031505412197983
Australia,84.2,86.0,82.4,86.5,23335357,4,57321.562,25956358.0,7.414243755483338,1487858984391.196,4.75831801631599,7.414243755483338
Austria,82.3,84.6,80.0,58.6,5337973,111,63576.242,8967006.0,6.952647460354016,570088543471.452,4.803294853133673,6.952647460354016
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126,20111.375,10234332.0,7.010059501304194,205826488726.5,4.303441764007912,7.010059501304194
Bahamas,74.9,78.5,71.2,88.4,356391,40,29340.473,396326.0,5.59805256409836,11628392302.198,4.46746711085812,5.59805256409836
Bahrain,81.6,82.3,81.0,0.0,0,2162,54954.676,1501708.0,6.1765854943744705,82525876586.608,4.740004651711246,6.1765854943744705
Bangladesh,75.2,76.9,73.6,42.6,74837709,1350,7441.0693,167658798.0,8.224426348236639,1247560734672.7014,3.871635349218033,8.224426348236639
Barbados,76.5,78.9,73.9,32.5,91766,657,15683.885,282111.0,5.450420020384942,4424596481.235,4.195453649233339,5.450420020384942
Belarus,74.8,79.4,69.9,84.4,7589573,44,27611.18,9251315.0,6.966203468593448,255439723701.7,4.441084967180299,6.966203468593448
Belgium,82.4,84.6,80.3,98.8,11613585,388,61873.965,11570794.0,7.063363161716405,715930902978.21,4.791507947318624,7.063363161716405
Belize,73.9,76.8,71.2,48.6,205478,19,11677.461,395312.0,5.5969399978863095,4616240462.832,4.067348425519822,5.5969399978863095
Benin,61.1,62.6,59.7,47.8,7076087,131,3464.2886,13413371.0,7.12753793689102,46467788242.8706,3.539614064686701,7.12753793689102
Bhutan,73.5,75.6,71.8,50.3,400623,21,13458.8125,775407.0,5.8895297172897765,10436057424.1875,4.129006742841276,5.8895297172897765
Bolivia,68.9,71.5,66.4,70.6,8887268,12,9454.198,11937318.0,7.076906763255824,112857767960.964,3.9756246935250674,7.076906763255824
Bosnia And Herzegovina,78.2,81.2,74.9,56.3,1768228,62,18544.076,3244869.0,6.511197168401248,60173097346.04401,4.268205198511291,6.511197168401248
Botswana,69.4,72.0,66.9,75.6,1937024,5,17961.357,2401410.0,6.380466314799339,43132582313.37,4.254339144989907,6.380466314799339
Brazil,76.2,79.3,73.1,91.4,194451506,25,18075.705,209550238.0,8.321288158426976,3787768284767.7905,4.257095244923072,8.321288158426976
